#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Penguin Adventure (Korea) (Unl) (Pirate);Penguin Adventure (Korea) (Unl) (Pirate);SEGA Master System;;;;;;;;;;;;;;;;;;
Penguin Land (USA, Europe);Penguin Land (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Phantasy Star (Japan) (T);Phantasy Star (Japan) (T);SEGA Master System;;;;;;;;;;;;;;;;;;
Phantasy Star (USA, Europe) (Rev 3);Phantasy Star (USA, Europe) (Rev 3);SEGA Master System;;;;;;;;;;;;;;;;;;
Pit Fighter (Europe);Pit Fighter (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Populous (Europe);Populous (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Poseidon Wars 3-D (USA, Europe);Poseidon Wars 3-D (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Power Strike (USA, Europe);Power Strike (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Power Strike II (Europe);Power Strike II (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Predator 2 (Europe);Predator 2 (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Prince of Persia (Europe);Prince of Persia (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Pro Wrestling (USA, Europe);Pro Wrestling (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Psychic World (Europe);Psychic World (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Psycho Fox (USA, Europe);Psycho Fox (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Putt & Putter (Europe);Putt & Putter (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Quartet (USA, Europe);Quartet (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Quest for the Shaven Yak Starring Ren Hoek & Stimpy (Brazil);Quest for the Shaven Yak Starring Ren Hoek & Stimpy (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
R-Type (World);R-Type (World);SEGA Master System;;;;;;;;;;;;;;;;;;
R.C. Grand Prix (USA, Europe);R.C. Grand Prix (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Rainbow Islands - Story of the Bubble Bobble 2 (Europe);Rainbow Islands - Story of the Bubble Bobble 2 (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Rambo - First Blood Part II (USA);Rambo - First Blood Part II (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Rambo III (USA, Europe);Rambo III (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Rampage (USA, Europe);Rampage (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Rampart (Europe);Rampart (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Rastan (USA, Europe);Rastan (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Reggie Jackson Baseball (USA);Reggie Jackson Baseball (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Renegade (Europe);Renegade (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Rescue Mission (USA, Europe);Rescue Mission (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Road Fighter (Korea) (Unl);Road Fighter (Korea) (Unl);SEGA Master System;;;;;;;;;;;;;;;;;;
Road Rash (Europe);Road Rash (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
RoboCop 3 (Europe);RoboCop 3 (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
RoboCop versus The Terminator (Europe);RoboCop versus The Terminator (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Rocky (World);Rocky (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Running Battle (Europe);Running Battle (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Sagaia (Europe);Sagaia (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
